DFW TECH COMPANIES,,,,,,,,,,,,Markdown
Name,Location,Address,Website,Category,Note,Team Size,Company Size,Frontend Stack,Mobile Stack,Infrastructure,Category Sort Order,Name|Location|Category|Website
---,---,---,---,---,---,---,---,---,---,---,,---|---|---|---
4Web Medical,"Frisco, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"4Web Medical|Frisco, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Active Network,"Dallas, Texas","717 N Harwood St #2500, Dallas, TX 75201",,Tech/SAAS/eCommerce Companies (HQ in DFW),Large Company Internal Team,,,,,,1,"Active Network|Dallas, Texas|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
ActivTrack,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"ActivTrack|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Alkami,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Alkami|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
App Dynamics,"Dallas, TX","16000 Dallas Pkwy #650, Dallas, TX 75248",http://www.appdynamics.com,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"App Dynamics|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|http://www.appdynamics.com"
Aprima Medical Software,"Richardson, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Aprima Medical Software|Richardson, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
ARGO,"Richardson, TX","1500 N Greenville Ave # 500, Richardson, TX 75081",http://argodata.com/,Tech/SAAS/eCommerce Companies (HQ in DFW),Large Company Internal Team,,,,,,1,"ARGO|Richardson, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|http://argodata.com/"
Asset Panda,"Frisco, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Asset Panda|Frisco, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Axxess,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Axxess|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Bestow Inc.,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Bestow Inc.|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Blinksale,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Blinksale|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Broadjump LLC,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Broadjump LLC|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Broadleaf Commerce,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Broadleaf Commerce|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Charity Network,"Dallas, TX",,https://charitynetwork.com/,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Charity Network|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|https://charitynetwork.com/"
Church Media Group,"Keller, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Church Media Group|Keller, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Clear C2,"Coppell, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Clear C2|Coppell, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
CyberlinkASP,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"CyberlinkASP|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Defi Solutions,"Westlake, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Defi Solutions|Westlake, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
DoctorLogic,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"DoctorLogic|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Door Inc. (doorhomes.com),"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Door Inc. (doorhomes.com)|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
DreamCars.com,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"DreamCars.com|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
ECi Software,"Fort Worth, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"ECi Software|Fort Worth, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Elevate / Think Finance,"Fort Worth, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Elevate / Think Finance|Fort Worth, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Enseo,"Richardson, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Enseo|Richardson, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Entouch,"Richardson, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Entouch|Richardson, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Epacube,"Fort Worth, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Epacube|Fort Worth, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
first.io,Dallas Remote,,https://www.first.io/,Tech/SAAS/eCommerce Companies (HQ in DFW),,small,small,,,,1,first.io|Dallas Remote|Tech/SAAS/eCommerce Companies (HQ in DFW)|https://www.first.io/
Flywheel Building Intelligence,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Flywheel Building Intelligence|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Groove Jones,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Groove Jones|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
